num	id	name	numlines	numwords
1	te0049-17	Musicos.	22	113
2	te0049-05	El Hombre.	8	38
3	te0049-16	Dos Mugeres.	5	23
4	te0049-05	El Hombre.	3	19
5	te0049-16	Dos Mugeres.	3	18
6	te0049-05	El Hombre.	1	6
7	te0049-16	Dos Mugeres.	3	16
8	te0049-05	El Hombre.	3	17
9	te0049-16	Dos Mugeres.	4	16
10	te0049-05	El Hombre.	3	14
11	te0049-16	Dos Mugeres.	2	10
12	te0049-05	El Hombre.	1	5
13	te0049-16	Dos Mugeres.	2	9
14	te0049-05	El Hombre.	16	73
15	te0049-16	Dos Mugeres.	7	32
16	te0049-05	El Hombre.	1	1
17	te0049-16	Dos Mugeres.	1	1
18	te0049-05	El Hombre.	1	4
19	te0049-16	Dos Mugeres.	1	3
20	te0049-95	(unknown)	4	17
21	te0049-05	El Hombre.	20	92
22	te0049-16	Dos Mugeres.	12	51
23	te0049-98	(unknown)	2	9
24	te0049-05	El Hombre.	9	45
25	te0049-16	Dos Mugeres.	16	76
26	te0049-98	(unknown)	3	14
27	te0049-05	El Hombre.	13	56
28	te0049-16	Dos Mugeres.	9	38
29	te0049-98	(unknown)	3	14
30	te0049-05	El Hombre.	12	59
31	te0049-16	Dos Mugeres.	9	40
32	te0049-98	(unknown)	3	14
33	te0049-05	El Hombre.	8	38
34	te0049-16	Dos Mugeres.	19	93
35	te0049-98	(unknown)	1	6
36	te0049-05	El Hombre.	5	23
37	te0049-16	Dos Mugeres.	8	39
38	te0049-98	(unknown)	1	6
39	te0049-96	(unknown)	1	3
40	te0049-05	El Hombre.	1	6
41	te0049-05	El Hombre.	1	6
42	te0049-05	El Hombre.	1	6
43	te0049-05	El Hombre.	1	2
44	te0049-98	(unknown)	1	6
45	te0049-16	Dos Mugeres.	8	43
46	te0049-05	El Hombre.	1	6
47	te0049-16	Dos Mugeres.	1	3
48	te0049-05	El Hombre.	1	4
49	te0049-16	Dos Mugeres.	27	131
50	te0049-05	El Hombre.	6	23
51	te0049-16	Dos Mugeres.	34	154
52	te0049-05	El Hombre.	9	39
53	te0049-23	Vnos.	1	2
54	te0049-25	Otros.	3	10
55	te0049-99	(unknown)	1	3
56	te0049-98	(unknown)	4	18
57	te0049-01	la Culpa.	8	34
58	te0049-02	El Mundo.	5	27
