num	id	name	numlines	numwords
1	te0467-02	Niso Pastor viejo.	1	2
2	te0467-03	Corbato Pastor.	2	10
3	te0467-10	Montano Pastor	2	10
4	te0467-09	Ardenio Pastor.	1	2
5	te0467-02	Niso Pastor viejo.	1	2
6	te0467-10	Montano Pastor	3	13
7	te0467-02	Niso Pastor viejo.	3	12
8	te0467-12	Marbelio, y Lirano, vandoleros.	3	12
9	te0467-02	Niso Pastor viejo.	1	5
10	te0467-12	Marbelio, y Lirano, vandoleros.	7	29
11	te0467-09	Ardenio Pastor.	3	11
12	te0467-02	Niso Pastor viejo.	1	3
13	te0467-12	Marbelio, y Lirano, vandoleros.	4	16
14	te0467-03	Corbato Pastor.	1	5
15	te0467-10	Montano Pastor	4	15
16	te0467-12	Marbelio, y Lirano, vandoleros.	2	7
17	te0467-10	Montano Pastor	5	24
18	te0467-03	Corbato Pastor.	5	20
19	te0467-02	Niso Pastor viejo.	3	13
20	te0467-09	Ardenio Pastor.	6	30
21	te0467-12	Marbelio, y Lirano, vandoleros.	2	11
22	te0467-02	Niso Pastor viejo.	3	16
23	te0467-12	Marbelio, y Lirano, vandoleros.	31	151
24	te0467-10	Montano Pastor	1	4
25	te0467-03	Corbato Pastor.	3	14
26	te0467-12	Marbelio, y Lirano, vandoleros.	1	6
27	te0467-09	Ardenio Pastor.	1	5
28	te0467-02	Niso Pastor viejo.	1	5
29	te0467-12	Marbelio, y Lirano, vandoleros.	5	23
30	te0467-02	Niso Pastor viejo.	1	5
31	te0467-12	Marbelio, y Lirano, vandoleros.	5	22
32	te0467-02	Niso Pastor viejo.	4	15
33	te0467-12	Marbelio, y Lirano, vandoleros.	1	2
34	te0467-10	Montano Pastor	3	13
35	te0467-12	Marbelio, y Lirano, vandoleros.	1	6
36	te0467-02	Niso Pastor viejo.	4	21
37	te0467-12	Marbelio, y Lirano, vandoleros.	1	3
38	te0467-02	Niso Pastor viejo.	4	16
39	te0467-12	Marbelio, y Lirano, vandoleros.	1	5
40	te0467-02	Niso Pastor viejo.	1	5
41	te0467-12	Marbelio, y Lirano, vandoleros.	12	66
42	te0467-09	Ardenio Pastor.	1	3
43	te0467-12	Marbelio, y Lirano, vandoleros.	4	18
44	te0467-02	Niso Pastor viejo.	80	417
45	te0467-12	Marbelio, y Lirano, vandoleros.	6	31
46	te0467-02	Niso Pastor viejo.	18	87
47	te0467-12	Marbelio, y Lirano, vandoleros.	2	10
48	te0467-01	Don Guillen Comendador de Santiago.	4	18
49	te0467-12	Marbelio, y Lirano, vandoleros.	3	20
50	te0467-02	Niso Pastor viejo.	1	4
51	te0467-03	Corbato Pastor.	2	10
52	te0467-00	Don Gaston Cauallero.	2	7
53	te0467-02	Niso Pastor viejo.	1	4
54	te0467-12	Marbelio, y Lirano, vandoleros.	4	22
55	te0467-00	Don Gaston Cauallero.	3	9
56	te0467-02	Niso Pastor viejo.	1	3
57	te0467-12	Marbelio, y Lirano, vandoleros.	2	7
58	te0467-00	Don Gaston Cauallero.	2	4
59	te0467-12	Marbelio, y Lirano, vandoleros.	2	6
60	te0467-00	Don Gaston Cauallero.	1	7
61	te0467-12	Marbelio, y Lirano, vandoleros.	15	70
62	te0467-00	Don Gaston Cauallero.	1	3
63	te0467-02	Niso Pastor viejo.	1	5
64	te0467-00	Don Gaston Cauallero.	21	76
65	te0467-12	Marbelio, y Lirano, vandoleros.	1	2
66	te0467-00	Don Gaston Cauallero.	46	207
67	te0467-12	Marbelio, y Lirano, vandoleros.	1	2
68	te0467-00	Don Gaston Cauallero.	4	18
69	te0467-12	Marbelio, y Lirano, vandoleros.	1	4
70	te0467-00	Don Gaston Cauallero.	37	182
71	te0467-12	Marbelio, y Lirano, vandoleros.	26	134
72	te0467-00	Don Gaston Cauallero.	2	7
73	te0467-02	Niso Pastor viejo.	3	13
74	te0467-09	Ardenio Pastor.	2	11
75	te0467-12	Marbelio, y Lirano, vandoleros.	2	5
76	te0467-02	Niso Pastor viejo.	2	13
77	te0467-00	Don Gaston Cauallero.	1	6
78	te0467-12	Marbelio, y Lirano, vandoleros.	4	23
79	te0467-00	Don Gaston Cauallero.	5	27
80	te0467-11	Laurencia Pastora.	1	4
81	te0467-01	Don Guillen Comendador de Santiago.	10	44
82	te0467-11	Laurencia Pastora.	5	28
83	te0467-01	Don Guillen Comendador de Santiago.	1	2
84	te0467-11	Laurencia Pastora.	12	54
85	te0467-01	Don Guillen Comendador de Santiago.	3	14
86	te0467-11	Laurencia Pastora.	7	31
87	te0467-01	Don Guillen Comendador de Santiago.	1	3
88	te0467-11	Laurencia Pastora.	1	1
89	te0467-01	Don Guillen Comendador de Santiago.	1	1
90	te0467-11	Laurencia Pastora.	1	3
91	te0467-01	Don Guillen Comendador de Santiago.	2	7
92	te0467-11	Laurencia Pastora.	2	5
93	te0467-01	Don Guillen Comendador de Santiago.	1	5
94	te0467-11	Laurencia Pastora.	20	93
95	te0467-01	Don Guillen Comendador de Santiago.	2	11
96	te0467-11	Laurencia Pastora.	2	14
97	te0467-01	Don Guillen Comendador de Santiago.	1	3
98	te0467-11	Laurencia Pastora.	2	12
99	te0467-01	Don Guillen Comendador de Santiago.	1	1
100	te0467-11	Laurencia Pastora.	1	2
101	te0467-01	Don Guillen Comendador de Santiago.	1	2
102	te0467-11	Laurencia Pastora.	1	4
103	te0467-01	Don Guillen Comendador de Santiago.	1	1
104	te0467-11	Laurencia Pastora.	1	3
105	te0467-01	Don Guillen Comendador de Santiago.	4	16
106	te0467-11	Laurencia Pastora.	1	2
107	te0467-01	Don Guillen Comendador de Santiago.	1	1
108	te0467-11	Laurencia Pastora.	1	4
109	te0467-01	Don Guillen Comendador de Santiago.	2	9
110	te0467-11	Laurencia Pastora.	1	4
111	te0467-01	Don Guillen Comendador de Santiago.	1	4
112	te0467-11	Laurencia Pastora.	8	39
113	te0467-01	Don Guillen Comendador de Santiago.	1	3
114	te0467-11	Laurencia Pastora.	1	4
115	te0467-01	Don Guillen Comendador de Santiago.	1	4
116	te0467-11	Laurencia Pastora.	1	3
117	te0467-01	Don Guillen Comendador de Santiago.	1	1
118	te0467-11	Laurencia Pastora.	1	5
119	te0467-01	Don Guillen Comendador de Santiago.	1	4
120	te0467-11	Laurencia Pastora.	1	1
121	te0467-01	Don Guillen Comendador de Santiago.	1	1
122	te0467-11	Laurencia Pastora.	1	1
123	te0467-01	Don Guillen Comendador de Santiago.	1	2
124	te0467-11	Laurencia Pastora.	1	3
125	te0467-01	Don Guillen Comendador de Santiago.	1	3
126	te0467-11	Laurencia Pastora.	1	3
127	te0467-01	Don Guillen Comendador de Santiago.	1	2
128	te0467-11	Laurencia Pastora.	1	3
129	te0467-01	Don Guillen Comendador de Santiago.	1	1
130	te0467-11	Laurencia Pastora.	1	2
131	te0467-01	Don Guillen Comendador de Santiago.	1	4
132	te0467-11	Laurencia Pastora.	1	2
133	te0467-01	Don Guillen Comendador de Santiago.	1	3
134	te0467-11	Laurencia Pastora.	1	2
135	te0467-01	Don Guillen Comendador de Santiago.	1	4
136	te0467-11	Laurencia Pastora.	1	1
137	te0467-01	Don Guillen Comendador de Santiago.	1	2
138	te0467-11	Laurencia Pastora.	1	2
139	te0467-01	Don Guillen Comendador de Santiago.	1	3
140	te0467-11	Laurencia Pastora.	1	2
141	te0467-01	Don Guillen Comendador de Santiago.	1	3
142	te0467-11	Laurencia Pastora.	1	2
143	te0467-01	Don Guillen Comendador de Santiago.	1	2
144	te0467-11	Laurencia Pastora.	1	2
145	te0467-01	Don Guillen Comendador de Santiago.	1	4
146	te0467-11	Laurencia Pastora.	1	2
147	te0467-01	Don Guillen Comendador de Santiago.	1	1
148	te0467-11	Laurencia Pastora.	1	2
149	te0467-01	Don Guillen Comendador de Santiago.	1	3
150	te0467-11	Laurencia Pastora.	1	2
151	te0467-01	Don Guillen Comendador de Santiago.	1	3
152	te0467-11	Laurencia Pastora.	1	2
153	te0467-01	Don Guillen Comendador de Santiago.	1	3
154	te0467-11	Laurencia Pastora.	1	3
155	te0467-01	Don Guillen Comendador de Santiago.	1	3
156	te0467-11	Laurencia Pastora.	1	2
157	te0467-01	Don Guillen Comendador de Santiago.	1	3
158	te0467-11	Laurencia Pastora.	1	3
159	te0467-01	Don Guillen Comendador de Santiago.	1	3
160	te0467-11	Laurencia Pastora.	1	3
161	te0467-01	Don Guillen Comendador de Santiago.	1	3
162	te0467-11	Laurencia Pastora.	1	1
163	te0467-01	Don Guillen Comendador de Santiago.	1	3
164	te0467-11	Laurencia Pastora.	1	3
165	te0467-01	Don Guillen Comendador de Santiago.	1	2
166	te0467-11	Laurencia Pastora.	1	4
167	te0467-01	Don Guillen Comendador de Santiago.	1	4
168	te0467-11	Laurencia Pastora.	1	2
169	te0467-01	Don Guillen Comendador de Santiago.	1	3
170	te0467-11	Laurencia Pastora.	1	3
171	te0467-01	Don Guillen Comendador de Santiago.	1	3
172	te0467-11	Laurencia Pastora.	1	1
173	te0467-01	Don Guillen Comendador de Santiago.	1	4
174	te0467-11	Laurencia Pastora.	1	1
175	te0467-01	Don Guillen Comendador de Santiago.	1	1
176	te0467-11	Laurencia Pastora.	1	4
177	te0467-01	Don Guillen Comendador de Santiago.	1	2
178	te0467-11	Laurencia Pastora.	1	2
179	te0467-01	Don Guillen Comendador de Santiago.	1	2
180	te0467-11	Laurencia Pastora.	1	1
181	te0467-01	Don Guillen Comendador de Santiago.	1	2
182	te0467-11	Laurencia Pastora.	1	3
183	te0467-01	Don Guillen Comendador de Santiago.	1	1
184	te0467-11	Laurencia Pastora.	1	3
185	te0467-01	Don Guillen Comendador de Santiago.	24	113
186	te0467-11	Laurencia Pastora.	1	6
187	te0467-01	Don Guillen Comendador de Santiago.	12	50
188	te0467-11	Laurencia Pastora.	1	3
189	te0467-01	Don Guillen Comendador de Santiago.	5	27
190	te0467-11	Laurencia Pastora.	2	5
