num	id	name	numlines	numwords
1	te0459-00	Reina Catolica.	88	380
2	te0459-02	Almirante de Castilla.	15	64
3	te0459-00	Reina Catolica.	2	10
4	te0459-10	Doña Maria Sarmiento.	15	69
5	te0459-00	Reina Catolica.	8	34
6	te0459-07	Antona Garcia.	4	17
7	te0459-00	Reina Catolica.	7	26
8	te0459-99	(unknown)	1	4
9	te0459-00	Reina Catolica.	1	5
10	te0459-07	Antona Garcia.	18	84
11	te0459-00	Reina Catolica.	10	48
12	te0459-07	Antona Garcia.	53	258
13	te0459-97	(unknown)	2	8
14	te0459-53	Vno	7	21
15	te0459-99	(unknown)	1	4
16	te0459-52	Otro.	7	26
17	te0459-99	(unknown)	3	12
18	te0459-07	Antona Garcia.	6	26
19	te0459-07	Antona Garcia.	42	198
20	te0459-00	Reina Catolica.	4	17
21	te0459-07	Antona Garcia.	8	35
22	te0459-00	Reina Catolica.	1	5
23	te0459-07	Antona Garcia.	1	4
24	te0459-21	Iuan de Monroi.	3	17
25	te0459-00	Reina Catolica.	3	14
26	te0459-21	Iuan de Monroi.	6	29
27	te0459-00	Reina Catolica.	1	5
28	te0459-07	Antona Garcia.	1	3
29	te0459-00	Reina Catolica.	1	5
30	te0459-21	Iuan de Monroi.	1	4
31	te0459-00	Reina Catolica.	3	14
32	te0459-07	Antona Garcia.	7	38
33	te0459-09	Bartolo Pastor.	16	72
34	te0459-41	1.	1	2
35	te0459-42	2.	1	2
36	te0459-09	Bartolo Pastor.	11	54
37	te0459-00	Reina Catolica.	17	80
38	te0459-07	Antona Garcia.	28	146
39	te0459-00	Reina Catolica.	2	10
40	te0459-02	Almirante de Castilla.	1	2
41	te0459-00	Reina Catolica.	2	8
42	te0459-07	Antona Garcia.	2	8
43	te0459-00	Reina Catolica.	2	4
44	te0459-98	(unknown)	2	9
45	te0459-53	Vno	4	20
46	te0459-99	(unknown)	1	4
47	te0459-09	Bartolo Pastor.	1	5
48	te0459-51	Carr.	1	2
49	te0459-09	Bartolo Pastor.	7	30
50	te0459-51	Carr.	1	6
51	te0459-09	Bartolo Pastor.	9	48
52	te0459-51	Carr.	1	4
53	te0459-09	Bartolo Pastor.	5	24
54	te0459-51	Carr.	2	9
55	te0459-09	Bartolo Pastor.	1	1
56	te0459-51	Carr.	2	5
57	te0459-09	Bartolo Pastor.	2	7
58	te0459-51	Carr.	2	7
59	te0459-09	Bartolo Pastor.	3	11
60	te0459-51	Carr.	1	3
61	te0459-09	Bartolo Pastor.	27	122
62	te0459-51	Carr.	1	5
63	te0459-09	Bartolo Pastor.	7	26
64	te0459-51	Carr.	3	14
65	te0459-09	Bartolo Pastor.	3	15
66	te0459-01	Marques de Santillana.	1	2
67	te0459-09	Bartolo Pastor.	20	89
68	te0459-07	Antona Garcia.	2	10
69	te0459-09	Bartolo Pastor.	1	5
70	te0459-07	Antona Garcia.	4	21
71	te0459-09	Bartolo Pastor.	7	32
72	te0459-07	Antona Garcia.	10	46
73	te0459-09	Bartolo Pastor.	1	1
74	te0459-07	Antona Garcia.	2	10
75	te0459-09	Bartolo Pastor.	2	8
76	te0459-07	Antona Garcia.	5	24
77	te0459-09	Bartolo Pastor.	4	25
78	te0459-27	Pero Alonso.	24	159
79	te0459-18	Don Basco.	12	81
80	te0459-27	Pero Alonso.	5	30
81	te0459-18	Don Basco.	1	3
82	te0459-27	Pero Alonso.	10	56
83	te0459-18	Don Basco.	2	6
84	te0459-27	Pero Alonso.	2	5
85	te0459-18	Don Basco.	4	26
86	te0459-07	Antona Garcia.	3	17
87	te0459-27	Pero Alonso.	2	8
88	te0459-07	Antona Garcia.	7	32
89	te0459-98	(unknown)	2	7
90	te0459-27	Pero Alonso.	12	51
91	te0459-07	Antona Garcia.	7	41
92	te0459-27	Pero Alonso.	1	4
93	te0459-07	Antona Garcia.	1	6
94	te0459-24	Gila Pastora.	1	7
95	te0459-07	Antona Garcia.	1	4
96	te0459-27	Pero Alonso.	2	8
97	te0459-07	Antona Garcia.	1	2
98	te0459-27	Pero Alonso.	2	5
99	te0459-07	Antona Garcia.	5	23
100	te0459-27	Pero Alonso.	12	48
101	te0459-07	Antona Garcia.	12	50
102	te0459-27	Pero Alonso.	14	66
103	te0459-07	Antona Garcia.	13	65
104	te0459-27	Pero Alonso.	1	2
105	te0459-07	Antona Garcia.	1	2
106	te0459-27	Pero Alonso.	1	2
107	te0459-07	Antona Garcia.	5	23
108	te0459-27	Pero Alonso.	1	4
109	te0459-07	Antona Garcia.	2	8
