num	id	name	numlines	numwords
1	te0052-08	Margarita, Dama.	1	5
2	te0052-09	Flora, Dama.	2	10
3	te0052-08	Margarita, Dama.	1	4
4	te0052-09	Flora, Dama.	1	1
5	te0052-08	Margarita, Dama.	260	1248
6	te0052-09	Flora, Dama.	5	21
7	te0052-08	Margarita, Dama.	2	6
8	te0052-09	Flora, Dama.	2	8
9	te0052-08	Margarita, Dama.	2	7
10	te0052-09	Flora, Dama.	4	13
11	te0052-08	Margarita, Dama.	1	1
12	te0052-09	Flora, Dama.	2	10
13	te0052-08	Margarita, Dama.	1	2
14	te0052-09	Flora, Dama.	7	32
15	te0052-08	Margarita, Dama.	9	45
16	te0052-09	Flora, Dama.	2	8
17	te0052-10	Capricho, Gracioso.	2	9
18	te0052-09	Flora, Dama.	2	6
19	te0052-10	Capricho, Gracioso.	4	20
20	te0052-09	Flora, Dama.	2	6
21	te0052-10	Capricho, Gracioso.	3	11
22	te0052-09	Flora, Dama.	1	4
23	te0052-10	Capricho, Gracioso.	8	39
24	te0052-08	Margarita, Dama.	2	6
25	te0052-10	Capricho, Gracioso.	4	12
26	te0052-08	Margarita, Dama.	1	4
27	te0052-10	Capricho, Gracioso.	1	1
28	te0052-08	Margarita, Dama.	1	4
29	te0052-10	Capricho, Gracioso.	2	7
30	te0052-08	Margarita, Dama.	1	2
31	te0052-10	Capricho, Gracioso.	3	13
32	te0052-08	Margarita, Dama.	2	10
33	te0052-10	Capricho, Gracioso.	3	15
34	te0052-08	Margarita, Dama.	1	1
35	te0052-10	Capricho, Gracioso.	9	41
36	te0052-09	Flora, Dama.	5	23
37	te0052-10	Capricho, Gracioso.	6	24
38	te0052-09	Flora, Dama.	1	4
39	te0052-10	Capricho, Gracioso.	1	1
40	te0052-09	Flora, Dama.	1	6
41	te0052-10	Capricho, Gracioso.	6	28
42	te0052-09	Flora, Dama.	4	20
43	te0052-10	Capricho, Gracioso.	1	2
44	te0052-09	Flora, Dama.	3	13
45	te0052-10	Capricho, Gracioso.	2	3
46	te0052-09	Flora, Dama.	2	8
47	te0052-10	Capricho, Gracioso.	3	11
48	te0052-08	Margarita, Dama.	2	9
49	te0052-10	Capricho, Gracioso.	1	4
50	te0052-08	Margarita, Dama.	7	34
51	te0052-10	Capricho, Gracioso.	5	22
52	te0052-08	Margarita, Dama.	1	1
53	te0052-10	Capricho, Gracioso.	1	5
54	te0052-08	Margarita, Dama.	1	7
55	te0052-10	Capricho, Gracioso.	12	63
56	te0052-09	Flora, Dama.	3	8
57	te0052-08	Margarita, Dama.	2	7
58	te0052-10	Capricho, Gracioso.	3	12
59	te0052-09	Flora, Dama.	2	7
60	te0052-10	Capricho, Gracioso.	5	23
61	te0052-09	Flora, Dama.	1	5
62	te0052-08	Margarita, Dama.	9	47
