num	id	name	numlines	numwords
1	te0056-06	Auristela.	1	4
2	te0056-04	Arnesto viejo.	2	5
3	te0056-06	Auristela.	1	1
4	te0056-04	Arnesto viejo.	2	6
5	te0056-06	Auristela.	1	1
6	te0056-04	Arnesto viejo.	1	2
7	te0056-06	Auristela.	10	53
8	te0056-04	Arnesto viejo.	6	29
9	te0056-06	Auristela.	4	21
10	te0056-01	Casimiro.	14	72
11	te0056-06	Auristela.	1	2
12	te0056-01	Casimiro.	2	7
13	te0056-06	Auristela.	177	821
14	te0056-01	Casimiro.	261	1205
15	te0056-06	Auristela.	8	37
16	te0056-01	Casimiro.	4	15
17	te0056-03	Roberto.	3	14
18	te0056-01	Casimiro.	3	15
19	te0056-03	Roberto.	4	18
20	te0056-05	Turin.	1	3
21	te0056-01	Casimiro.	2	7
22	te0056-05	Turin.	1	2
23	te0056-01	Casimiro.	1	1
24	te0056-05	Turin.	3	8
25	te0056-01	Casimiro.	4	16
26	te0056-05	Turin.	3	15
27	te0056-06	Auristela.	1	2
28	te0056-05	Turin.	1	1
29	te0056-06	Auristela.	1	1
30	te0056-05	Turin.	70	339
31	te0056-06	Auristela.	5	19
32	te0056-01	Casimiro.	9	49
33	te0056-06	Auristela.	1	1
34	te0056-01	Casimiro.	1	1
35	te0056-06	Auristela.	12	64
36	te0056-01	Casimiro.	3	17
37	te0056-05	Turin.	3	18
38	te0056-01	Casimiro.	3	17
39	te0056-05	Turin.	1	2
40	te0056-01	Casimiro.	1	1
41	te0056-05	Turin.	5	22
42	te0056-01	Casimiro.	20	98
43	te0056-07	Christerna.	30	145
44	te0056-98	(unknown)	3	12
45	te0056-01	Casimiro.	1	7
46	te0056-08	Lesbia.	20	96
47	te0056-07	Christerna.	5	23
48	te0056-98	(unknown)	14	71
49	te0056-07	Christerna.	12	62
50	te0056-08	Lesbia.	6	30
51	te0056-07	Christerna.	12	62
52	te0056-08	Lesbia.	10	43
53	te0056-07	Christerna.	10	51
54	te0056-08	Lesbia.	8	40
55	te0056-02	Federìco.	9	41
56	te0056-07	Christerna.	4	16
57	te0056-02	Federìco.	29	133
58	te0056-07	Christerna.	17	77
59	te0056-02	Federìco.	6	32
60	te0056-07	Christerna.	2	9
61	te0056-09	Flora criada.	5	19
62	te0056-07	Christerna.	3	13
63	te0056-10	Nise criada.	3	17
64	te0056-08	Lesbia.	1	3
65	te0056-07	Christerna.	1	2
66	te0056-08	Lesbia.	8	40
67	te0056-07	Christerna.	1	6
68	te0056-08	Lesbia.	5	26
69	te0056-07	Christerna.	1	1
70	te0056-08	Lesbia.	1	1
71	te0056-07	Christerna.	4	15
72	te0056-08	Lesbia.	4	18
73	te0056-00	Sigismundo.	5	20
74	te0056-07	Christerna.	3	11
75	te0056-00	Sigismundo.	66	380
