num	id	name	numlines	numwords
1	te0469-01	Quintana.	24	104
2	te0469-00	Doña Iuana.	1	4
3	te0469-01	Quintana.	34	147
4	te0469-00	Doña Iuana.	2	4
5	te0469-01	Quintana.	1	1
6	te0469-00	Doña Iuana.	184	845
7	te0469-01	Quintana.	5	20
8	te0469-00	Doña Iuana.	1	2
9	te0469-01	Quintana.	1	1
10	te0469-00	Doña Iuana.	1	1
11	te0469-02	Caramanchel.	3	14
12	te0469-00	Doña Iuana.	1	4
13	te0469-02	Caramanchel.	5	25
14	te0469-00	Doña Iuana.	2	9
15	te0469-02	Caramanchel.	1	3
16	te0469-00	Doña Iuana.	1	2
17	te0469-02	Caramanchel.	9	40
18	te0469-00	Doña Iuana.	1	4
19	te0469-02	Caramanchel.	14	61
20	te0469-00	Doña Iuana.	1	4
21	te0469-02	Caramanchel.	124	544
22	te0469-00	Doña Iuana.	1	2
23	te0469-02	Caramanchel.	75	336
24	te0469-00	Doña Iuana.	6	29
25	te0469-02	Caramanchel.	3	8
26	te0469-00	Doña Iuana.	8	36
27	te0469-02	Caramanchel.	2	6
28	te0469-00	Doña Iuana.	2	6
29	te0469-02	Caramanchel.	9	42
30	te0469-00	Doña Iuana.	1	1
31	te0469-02	Caramanchel.	2	7
32	te0469-00	Doña Iuana.	2	9
33	te0469-02	Caramanchel.	1	4
34	te0469-00	Doña Iuana.	1	2
35	te0469-02	Caramanchel.	1	3
36	te0469-00	Doña Iuana.	1	4
37	te0469-02	Caramanchel.	4	23
38	te0469-00	Doña Iuana.	3	11
39	te0469-02	Caramanchel.	3	11
40	te0469-00	Doña Iuana.	1	2
41	te0469-02	Caramanchel.	1	2
42	te0469-00	Doña Iuana.	1	1
43	te0469-02	Caramanchel.	1	3
44	te0469-00	Doña Iuana.	1	2
45	te0469-02	Caramanchel.	1	3
46	te0469-00	Doña Iuana.	5	19
47	te0469-02	Caramanchel.	2	7
48	te0469-00	Doña Iuana.	1	3
49	te0469-02	Caramanchel.	1	4
50	te0469-98	(unknown)	0	0
51	te0469-04	Don Pedro.	24	150
52	te0469-03	Don Martin.	24	157
53	te0469-04	Don Pedro.	8	54
54	te0469-03	Don Martin.	1	5
55	te0469-05	Ossorio.	2	11
56	te0469-03	Don Martin.	2	7
57	te0469-04	Don Pedro.	8	49
58	te0469-03	Don Martin.	5	31
59	te0469-04	Don Pedro.	3	13
60	te0469-03	Don Martin.	5	30
61	te0469-04	Don Pedro.	1	5
62	te0469-03	Don Martin.	1	4
63	te0469-06	Doña Ynes.	2	8
64	te0469-00	Doña Iuana.	1	3
65	te0469-06	Doña Ynes.	1	5
66	te0469-00	Doña Iuana.	3	20
67	te0469-06	Doña Ynes.	1	5
68	te0469-00	Doña Iuana.	2	9
69	te0469-06	Doña Ynes.	2	9
70	te0469-00	Doña Iuana.	6	25
71	te0469-06	Doña Ynes.	3	12
72	te0469-04	Don Pedro.	2	8
73	te0469-06	Doña Ynes.	6	30
74	te0469-04	Don Pedro.	1	3
75	te0469-00	Doña Iuana.	1	5
76	te0469-06	Doña Ynes.	1	4
77	te0469-04	Don Pedro.	1	1
78	te0469-06	Doña Ynes.	4	13
79	te0469-04	Don Pedro.	9	39
80	te0469-06	Doña Ynes.	7	37
81	te0469-04	Don Pedro.	17	84
82	te0469-06	Doña Ynes.	15	73
83	te0469-04	Don Pedro.	1	2
84	te0469-06	Doña Ynes.	4	16
85	te0469-04	Don Pedro.	5	27
86	te0469-06	Doña Ynes.	1	2
87	te0469-04	Don Pedro.	2	9
88	te0469-06	Doña Ynes.	3	11
89	te0469-04	Don Pedro.	2	10
90	te0469-06	Doña Ynes.	2	11
91	te0469-00	Doña Iuana.	10	71
92	te0469-02	Caramanchel.	5	36
93	te0469-00	Doña Iuana.	1	1
94	te0469-02	Caramanchel.	2	9
95	te0469-00	Doña Iuana.	2	11
96	te0469-02	Caramanchel.	3	16
97	te0469-00	Doña Iuana.	1	2
98	te0469-02	Caramanchel.	6	34
99	te0469-00	Doña Iuana.	3	15
100	te0469-02	Caramanchel.	2	11
101	te0469-97	(unknown)	12	42
102	te0469-08	Doña Clara.	1	2
103	te0469-06	Doña Ynes.	6	23
104	te0469-00	Doña Iuana.	3	15
105	te0469-06	Doña Ynes.	4	19
106	te0469-00	Doña Iuana.	2	7
107	te0469-06	Doña Ynes.	3	10
108	te0469-00	Doña Iuana.	1	4
109	te0469-02	Caramanchel.	3	13
110	te0469-00	Doña Iuana.	2	7
111	te0469-02	Caramanchel.	1	2
112	te0469-00	Doña Iuana.	5	21
113	te0469-08	Doña Clara.	1	5
114	te0469-06	Doña Ynes.	1	5
115	te0469-00	Doña Iuana.	1	3
116	te0469-06	Doña Ynes.	1	1
117	te0469-35	Gil.	2	4
118	te0469-06	Doña Ynes.	2	7
