num	id	name	numlines	numwords
1	te0458-00	Don Pedro de Castilla.	18	82
2	te0458-03	Vitoria su hermana.	12	50
3	te0458-00	Don Pedro de Castilla.	4	19
4	te0458-03	Vitoria su hermana.	18	89
5	te0458-00	Don Pedro de Castilla.	6	25
6	te0458-03	Vitoria su hermana.	3	11
7	te0458-08	Cap.	7	29
8	te0458-02	La Duquesa.	16	70
9	te0458-08	Cap.	6	29
10	te0458-02	La Duquesa.	4	19
11	te0458-03	Vitoria su hermana.	3	11
12	te0458-04	El Duque de Placencia.	17	78
13	te0458-02	La Duquesa.	6	30
14	te0458-04	El Duque de Placencia.	4	18
15	te0458-02	La Duquesa.	8	34
16	te0458-03	Vitoria su hermana.	5	25
17	te0458-02	La Duquesa.	1	1
18	te0458-03	Vitoria su hermana.	5	17
19	te0458-02	La Duquesa.	14	61
20	te0458-03	Vitoria su hermana.	12	57
21	te0458-02	La Duquesa.	10	52
22	te0458-03	Vitoria su hermana.	3	12
23	te0458-01	El Duque de Capua.	4	19
24	te0458-98	(unknown)	21	82
25	te0458-02	La Duquesa.	2	9
26	te0458-03	Vitoria su hermana.	2	9
27	te0458-02	La Duquesa.	4	13
28	te0458-03	Vitoria su hermana.	3	13
29	te0458-02	La Duquesa.	5	18
30	te0458-03	Vitoria su hermana.	20	86
31	te0458-02	La Duquesa.	5	20
32	te0458-03	Vitoria su hermana.	17	69
33	te0458-02	La Duquesa.	4	19
34	te0458-03	Vitoria su hermana.	2	10
35	te0458-02	La Duquesa.	1	1
36	te0458-03	Vitoria su hermana.	1	3
37	te0458-02	La Duquesa.	1	1
38	te0458-03	Vitoria su hermana.	2	6
39	te0458-02	La Duquesa.	3	8
40	te0458-03	Vitoria su hermana.	2	4
41	te0458-02	La Duquesa.	3	12
42	te0458-03	Vitoria su hermana.	15	68
43	te0458-02	La Duquesa.	16	70
44	te0458-03	Vitoria su hermana.	6	28
45	te0458-02	La Duquesa.	37	167
46	te0458-03	Vitoria su hermana.	3	9
47	te0458-02	La Duquesa.	7	26
48	te0458-03	Vitoria su hermana.	3	14
49	te0458-02	La Duquesa.	30	132
50	te0458-02	La Duquesa.	1	4
51	te0458-06	Romero.	15	76
52	te0458-02	La Duquesa.	1	6
53	te0458-06	Romero.	11	54
54	te0458-02	La Duquesa.	3	12
55	te0458-06	Romero.	2	7
56	te0458-02	La Duquesa.	1	4
57	te0458-06	Romero.	4	15
58	te0458-02	La Duquesa.	1	5
59	te0458-06	Romero.	2	11
60	te0458-02	La Duquesa.	1	5
61	te0458-06	Romero.	12	54
62	te0458-02	La Duquesa.	2	10
63	te0458-06	Romero.	4	19
64	te0458-02	La Duquesa.	1	3
65	te0458-06	Romero.	2	5
66	te0458-02	La Duquesa.	2	5
67	te0458-06	Romero.	4	16
68	te0458-02	La Duquesa.	4	13
69	te0458-06	Romero.	5	22
70	te0458-02	La Duquesa.	2	5
71	te0458-06	Romero.	39	163
72	te0458-02	La Duquesa.	4	11
73	te0458-06	Romero.	7	28
74	te0458-02	La Duquesa.	1	3
75	te0458-06	Romero.	9	36
76	te0458-02	La Duquesa.	1	1
77	te0458-06	Romero.	23	109
78	te0458-02	La Duquesa.	3	10
79	te0458-06	Romero.	3	12
80	te0458-02	La Duquesa.	1	5
81	te0458-02	La Duquesa.	5	23
82	te0458-06	Romero.	9	37
83	te0458-00	Don Pedro de Castilla.	3	11
84	te0458-06	Romero.	4	17
85	te0458-00	Don Pedro de Castilla.	1	5
86	te0458-06	Romero.	1	4
87	te0458-00	Don Pedro de Castilla.	1	6
88	te0458-06	Romero.	4	16
89	te0458-02	La Duquesa.	2	5
90	te0458-00	Don Pedro de Castilla.	2	3
91	te0458-06	Romero.	7	28
92	te0458-00	Don Pedro de Castilla.	1	1
93	te0458-06	Romero.	3	15
94	te0458-02	La Duquesa.	1	5
95	te0458-00	Don Pedro de Castilla.	1	3
96	te0458-02	La Duquesa.	5	21
97	te0458-00	Don Pedro de Castilla.	4	21
98	te0458-02	La Duquesa.	2	13
99	te0458-00	Don Pedro de Castilla.	2	9
100	te0458-02	La Duquesa.	2	11
101	te0458-00	Don Pedro de Castilla.	2	10
102	te0458-02	La Duquesa.	8	33
103	te0458-00	Don Pedro de Castilla.	1	7
104	te0458-02	La Duquesa.	5	23
105	te0458-00	Don Pedro de Castilla.	12	52
106	te0458-02	La Duquesa.	2	9
107	te0458-00	Don Pedro de Castilla.	1	1
108	te0458-02	La Duquesa.	1	1
109	te0458-00	Don Pedro de Castilla.	2	10
110	te0458-02	La Duquesa.	1	6
111	te0458-00	Don Pedro de Castilla.	1	5
112	te0458-02	La Duquesa.	3	10
113	te0458-00	Don Pedro de Castilla.	1	6
114	te0458-02	La Duquesa.	1	5
115	te0458-00	Don Pedro de Castilla.	4	15
116	te0458-02	La Duquesa.	2	6
117	te0458-00	Don Pedro de Castilla.	2	8
118	te0458-02	La Duquesa.	2	8
119	te0458-00	Don Pedro de Castilla.	8	36
120	te0458-02	La Duquesa.	2	6
121	te0458-00	Don Pedro de Castilla.	4	18
122	te0458-02	La Duquesa.	3	15
123	te0458-00	Don Pedro de Castilla.	1	4
124	te0458-02	La Duquesa.	6	28
125	te0458-00	Don Pedro de Castilla.	4	17
126	te0458-02	La Duquesa.	4	18
127	te0458-00	Don Pedro de Castilla.	6	23
