num	id	name	numlines	numwords
1	te0472-00	Sixto	4	18
2	te0472-01	Peroto viejo.	15	71
3	te0472-00	Sixto	23	131
4	te0472-01	Peroto viejo.	6	33
5	te0472-00	Sixto	25	120
6	te0472-01	Peroto viejo.	19	88
7	te0472-03	Sabina.	4	18
8	te0472-01	Peroto viejo.	2	11
9	te0472-02	Camila.	2	9
10	te0472-03	Sabina.	13	56
11	te0472-01	Peroto viejo.	2	5
12	te0472-03	Sabina.	2	9
13	te0472-01	Peroto viejo.	4	19
14	te0472-00	Sixto	3	15
15	te0472-01	Peroto viejo.	2	7
16	te0472-00	Sixto	2	8
17	te0472-01	Peroto viejo.	2	11
18	te0472-02	Camila.	1	6
19	te0472-01	Peroto viejo.	20	102
20	te0472-02	Camila.	2	10
21	te0472-01	Peroto viejo.	3	15
22	te0472-00	Sixto	2	2
23	te0472-01	Peroto viejo.	1	5
24	te0472-03	Sabina.	1	3
25	te0472-01	Peroto viejo.	3	12
26	te0472-99	(unknown)	1	1
27	te0472-01	Peroto viejo.	1	5
28	te0472-00	Sixto	1	3
29	te0472-01	Peroto viejo.	2	5
30	te0472-03	Sabina.	2	8
31	te0472-02	Camila.	8	36
32	te0472-03	Sabina.	1	5
33	te0472-01	Peroto viejo.	1	3
34	te0472-03	Sabina.	27	121
35	te0472-01	Peroto viejo.	2	7
36	te0472-03	Sabina.	6	29
37	te0472-00	Sixto	3	6
38	te0472-02	Camila.	1	3
39	te0472-00	Sixto	1	2
40	te0472-02	Camila.	4	16
41	te0472-00	Sixto	3	11
42	te0472-02	Camila.	2	8
43	te0472-00	Sixto	3	11
44	te0472-01	Peroto viejo.	10	50
45	te0472-03	Sabina.	2	8
46	te0472-00	Sixto	1	2
47	te0472-02	Camila.	3	13
48	te0472-00	Sixto	1	6
49	te0472-03	Sabina.	1	2
50	te0472-00	Sixto	1	1
51	te0472-03	Sabina.	1	1
52	te0472-00	Sixto	2	11
53	te0472-01	Peroto viejo.	2	7
54	te0472-00	Sixto	1	6
55	te0472-02	Camila.	1	5
56	te0472-01	Peroto viejo.	3	13
57	te0472-02	Camila.	7	30
58	te0472-02	Camila.	1	4
59	te0472-01	Peroto viejo.	1	4
60	te0472-02	Camila.	4	18
61	te0472-01	Peroto viejo.	1	1
62	te0472-02	Camila.	6	23
63	te0472-01	Peroto viejo.	3	11
64	te0472-02	Camila.	4	16
65	te0472-01	Peroto viejo.	3	13
66	te0472-02	Camila.	1	6
67	te0472-01	Peroto viejo.	4	19
